Project Name,2020 Price,2021 Price,2022 Price,2023 Price,2024 Price,2025 Price,2026 Price,Appreciation,Appreciation_Clean_%,Area,Community Type,DWC Travel Time,DXB Travel Time,Developer,Downtown Travel Time,File1 Appreciation,ID,Launch Year,Marina Travel Time,Master Community,PPSM,Price_Segment,Price_Vs_Community_Avg_%,Project_Stage,Projected_CAGR_24_26,Rental Yield %,Service Charge,Start Price,Unit Type
Sur La Mer,"1,800","2,070","2,740","3,350","3,970","4,530","5,010",+110% (Since 2020),110,Port de La Mer,Waterfront/Luxury,35m,20m,Meraas,10m,,111,2019,20m,Port de La Mer,,Mid-Range,,Established,0.123372038,5.5,5.5,"4,200,000",Townhouses
Madinat Jumeirah Living,"1,550","1,790","2,340","2,820","3,290","3,730","4,080",+100% (Since 2020),100,Jumeirah,Pedestrian/Resort,30m,20m,Meraas,15m,,112,2018,10m,MJL,,Unknown,,Established,0.113607463,6,18,Community,Apartments
Riwa,,,,,"2,300","2,580","2,730",+12%,12,MJL,Pedestrian/Resort,30m,20m,Meraas,15m,,113,2024,10m,MJL,,Mid-Range,,Under Construction / New,0.089475342,6,19,"2,300,000",Apartments
Jadeel,,,"1,700","2,010","2,310","2,590","2,800",+48%,48,MJL,Pedestrian/Resort,30m,20m,Meraas,15m,,114,2022,10m,MJL,,Mid-Range,,Recently Delivered,0.100963765,6,18,"1,600,000",Apartments
Lamaa,,,"1,750","2,030","2,310","2,560","2,740",+45%,45,MJL,Pedestrian/Resort,30m,20m,Meraas,15m,,115,2022,10m,MJL,,Mid-Range,,Recently Delivered,0.089103845,6,18,"1,650,000",Apartments
Jomana,,,,"1,900","2,240","2,550","2,780",+30%,30,MJL,Pedestrian/Resort,30m,20m,Meraas,15m,,116,2023,10m,MJL,,Mid-Range,,Recently Delivered,0.114033854,6,18,"1,900,000",Apartments
Rahaal,"1,500","1,740","2,290","2,790","3,280","3,730","4,110",+110% (Since 2020),110,MJL,Pedestrian/Resort,30m,20m,Meraas,15m,,117,2018,10m,MJL,,Affordable,,Established,0.119396614,6,17.5,"1,300,000",Apartments
Asayel,"1,450","1,670","2,170","2,620","3,040","3,430","3,760",+105% (Since 2020),105,MJL,Pedestrian/Resort,30m,20m,Meraas,15m,,118,2019,10m,MJL,,Affordable,,Established,0.112134032,6,17.5,"1,400,000",Apartments
The Acres Phase 1,,,,"1,250","1,440","1,610","1,740",+25%,25,Dubailand,Nature/Gated,25m,25m,Meraas,25m,,119,2023,25m,Dubailand,,Luxury,,Recently Delivered,0.099242163,7,4.2,"5,090,000",Villas
The Acres Phase 2,,,,,"1,350","1,510","1,620",+15%,15,Dubailand,Nature/Gated,25m,25m,Meraas,25m,,120,2024,25m,Dubailand,,Luxury,,Under Construction / New,0.095445115,7,4.2,"5,350,000",Villas
NAS Gardens Ph 1,,,"1,200","1,420","1,620","1,800","1,940",+40%,40,Nad Al Sheba,Gated/Family,30m,20m,Meraas,15m,,121,2022,25m,Nad Al Sheba,,Mid-Range,,Recently Delivered,0.094317534,6,4.5,"4,200,000",Villas
NAS Gardens Ph 3,,,,"1,300","1,480","1,640","1,750",+28%,28,Nad Al Sheba,Gated/Family,30m,20m,Meraas,15m,,123,2023,25m,Nad Al Sheba,,Mid-Range,,Recently Delivered,0.087397091,6,4.5,"4,800,000",Villas
NAS Gardens Ph 2,,,,"1,250","1,450","1,620","1,730",+32%,32,Nad Al Sheba,Gated/Family,30m,20m,Meraas,15m,,122,2023,25m,Nad Al Sheba,,Mid-Range,,Recently Delivered,0.092292748,6,4.5,"4,500,000",Villas
NAS Gardens Ph 4,,,,,"1,350","1,510","1,600",+18%,18,Nad Al Sheba,Gated/Family,30m,20m,Meraas,15m,,124,2024,25m,Nad Al Sheba,,Luxury,,Under Construction / New,0.088662108,6,4.5,"5,100,000",Villas
NAS Gardens Ph 5,,,,,"1,400","1,550","1,640",+14%,14,Nad Al Sheba,Gated/Family,30m,20m,Meraas,15m,,125,2024,25m,Nad Al Sheba,,Luxury,,Under Construction / New,0.082325539,6,4.5,"5,500,000",Villas
NAS Gardens Ph 6,,,,,"6,000,000","1,500","1,560",+10%,10,Nad Al Sheba,Gated/Family,30m,20m,Meraas,15m,,126,2024,25m,Nad Al Sheba,,Luxury,,Under Construction / New,,6,4.5,"6,000,000",Villas
Cherrywoods,800,880,"1,040","1,190","1,340","1,470","1,580",+75% (Since 2020),75,Dubailand,Gated/Family,25m,25m,Meraas,25m,,127,2019,25m,Dubailand,,Mid-Range,,Established,0.085865773,7,3.5,"2,300,000",Townhouses
Bluewaters Residences,"2,500","2,960","4,100","5,090","6,130","7,080","7,820",+130% (Since 2020),130,Bluewaters,Island/Luxury,30m,25m,Meraas,20m,,129,2015,5m,Bluewaters,,Mid-Range,,Established,0.129465941,5.5,28,"2,500,000",Apartments
Bluewaters Bay,,,"2,200","2,680","3,160","3,630","3,960",+55%,55,Bluewaters,Island/Luxury,30m,25m,Meraas,20m,,128,2022,5m,Bluewaters,,Mid-Range,,Recently Delivered,0.119448327,5.5,24,"4,400,000",Apartments
Bulgari Resort & Res,"3,800","4,770","7,870","10,640","13,670","16,730","19,270",+250% (Since 2020),250,Jumeirah Bay,Ultra-Luxury,35m,20m,Meraas,10m,,130,2017,20m,Jumeirah Bay,,Luxury,,Established,0.187289426,4.5,54,"12,000,000",Apartments
Villa Amalfi,"2,500","2,960","4,310","5,530","6,770","8,000","9,000",+180% (Since 2020),180,Jumeirah Bay,Ultra-Luxury,35m,20m,Meraas,10m,,131,2018,20m,Jumeirah Bay,,Luxury,,Established,0.152993663,4.5,12,"5,500,000",Luxury Villas
Bulgari Lighthouse,,,,"6,500","8,130","9,760","11,220",+60%,60,Jumeirah Bay,Ultra-Luxury,35m,20m,Meraas,10m,,132,2023,20m,Jumeirah Bay,,Ultra-Luxury,,Recently Delivered,0.174765424,4.5,65,"64,000,000",Apartments
Mudon (Master),850,920,"1,070","1,210","1,350","1,470","1,560",+65% (Since 2020),65,Mudon,Suburban/Family,20m,25m,Dubai Properties,20m,,133,2012,20m,Mudon,,Unknown,,Established,0.0749677,6.5,3.5,Community,Mixed
Mudon Al Ranim Ph 1,,,"1,100","1,270","1,420","1,560","1,670",+38%,38,Mudon,Gated/Family,20m,25m,Dubai Properties,20m,,134,2022,20m,Mudon,,Mid-Range,,Recently Delivered,0.084461312,6.5,3.8,"1,900,000",Townhouses
Mudon Al Ranim Ph 2,,,"1,150","1,310","1,450","1,580","1,670",+35%,35,Mudon,Gated/Family,20m,25m,Dubai Properties,20m,,135,2022,20m,Mudon,,Mid-Range,,Recently Delivered,0.073184112,6.5,3.8,"2,000,000",Townhouses
Mudon Al Ranim Ph 3,,,,"1,200","1,380","1,530","1,640",+28%,28,Mudon,Gated/Family,20m,25m,Dubai Properties,20m,,136,2023,20m,Mudon,,Mid-Range,,Recently Delivered,0.090140265,6.5,3.8,"2,100,000",Townhouses
Mudon Al Ranim Ph 4,,,,"1,250","1,430","1,570","1,660",+25%,25,Mudon,Gated/Family,20m,25m,Dubai Properties,20m,,137,2023,20m,Mudon,,Mid-Range,,Recently Delivered,0.077422462,6.5,3.8,"2,250,000",Townhouses
Mudon Al Ranim Ph 5,,,,"1,300","1,470","1,600","1,700",+22%,22,Mudon,Gated/Family,20m,25m,Dubai Properties,20m,,138,2023,20m,Mudon,,Mid-Range,,Recently Delivered,0.075389504,6.5,3.8,"2,300,000",Townhouses
Mudon Al Ranim Ph 6,,,,"1,350","1,510","1,630","1,730",+20%,20,Mudon,Gated/Family,20m,25m,Dubai Properties,20m,,139,2023,20m,Mudon,,Mid-Range,,Recently Delivered,0.070371601,6.5,3.8,"2,400,000",Townhouses
Mudon Al Ranim Ph 8,,,,,"1,450","1,600","1,680",+12%,12,Mudon,Gated/Family,20m,25m,Dubai Properties,20m,,141,2024,20m,Mudon,,Mid-Range,,Under Construction / New,0.076392442,6.5,3.8,"2,700,000",Townhouses
Mudon Al Ranim Ph 7,,,,,"1,400","1,570","1,660",+15%,15,Mudon,Gated/Family,20m,25m,Dubai Properties,20m,,140,2024,20m,Mudon,,Mid-Range,,Under Construction / New,0.088905086,6.5,3.8,"2,550,000",Townhouses
Mudon Views,900,980,"1,140","1,300","1,460","1,610","1,730",+70% (Since 2020),70,Mudon,Gated/Family,20m,25m,Dubai Properties,20m,,142,2017,20m,Mudon,,Affordable,,Established,0.088545592,6.5,14.5,"800,000",Apartments
Rahat,850,920,"1,070","1,220","1,360","1,490","1,590",+68% (Since 2020),68,Mudon,Gated/Family,20m,25m,Dubai Properties,20m,,143,2013,20m,Mudon,,Mid-Range,,Established,0.081257438,6.5,3.5,"3,100,000",Villas
Naseem,830,900,"1,050","1,190","1,320","1,440","1,530",+65% (Since 2020),65,Mudon,Gated/Family,20m,25m,Dubai Properties,20m,,144,2014,20m,Mudon,,Mid-Range,,Established,0.076610844,6.5,3.5,"3,300,000",Villas
La Violeta,,,"1,100","1,270","1,420","1,560","1,670",+35%,35,Villanova,Gated/Family,25m,25m,Dubai Properties,25m,,146,2022,25m,Villanova,950,Mid-Range,,Recently Delivered,0.084461312,6.5,3.8,"1,600,000",Townhouses
Villanova (Master),900,"1,000","1,200","1,390","1,590","1,780","1,930",+85% (Since 2020),85,Dubailand,Gated/Family,25m,25m,Dubai Properties,25m,,145,2016,25m,Dubailand,,Unknown,,Established,0.101742474,7,3.5,Community,Townhouses
Amaranta,850,960,"1,180","1,400","1,620","1,820","1,980",+95% (Since 2020),95,Villanova,Gated/Family,25m,25m,Dubai Properties,25m,,147,2016,25m,Villanova,950,Affordable,,Established,0.105541597,6.5,3.5,"1,200,000",Townhouses
La Rosa Phase 1,900,"1,010","1,230","1,450","1,670","1,870","2,030",+90% (Since 2020),90,Villanova,Gated/Family,25m,25m,Dubai Properties,25m,,148,2019,25m,Villanova,950,Affordable,,Established,0.102528395,6.5,3.5,"1,280,000",Townhouses
La Rosa Phase 2,920,"1,030","1,250","1,470","1,690","1,880","2,030",+88% (Since 2020),88,Villanova,Gated/Family,25m,25m,Dubai Properties,25m,,149,2019,25m,Villanova,950,Affordable,,Established,0.095985142,6.5,3.5,"1,350,000",Townhouses
La Rosa Phase 3,950,"1,050","1,260","1,460","1,660","1,840","1,990",+85%,85,Villanova,Gated/Family,25m,25m,Dubai Properties,25m,,150,2020,25m,Villanova,950,Affordable,,Established,0.094895055,6.5,3.5,"1,400,000",Townhouses
La Rosa Phase 5,,,"1,270","1,450","1,620","1,780","1,910",+55%,55,Villanova,Gated/Family,25m,25m,Dubai Properties,25m,,152,2021,25m,Villanova,950,Mid-Range,,Established,0.085823349,6.5,3.5,"1,600,000",Townhouses
La Rosa Phase 4,980,"1,070","1,260","1,450","1,640","1,810","1,950",+82%,82,Villanova,Gated/Family,25m,25m,Dubai Properties,25m,,151,2020,25m,Villanova,950,Mid-Range,,Established,0.09042395,6.5,3.5,"1,500,000",Townhouses
La Rosa Phase 6,,,"1,310","1,480","1,650","1,810","1,940",+50%,50,Villanova,Gated/Family,25m,25m,Dubai Properties,25m,,153,2021,25m,Villanova,950,Mid-Range,,Established,0.084323557,6.5,3.5,"1,750,000",Townhouses
JBR (Master),"1,400","1,510","1,740","1,950","2,150","2,330","2,470",+60% (Since 2020),60,JBR,Waterfront/Lifestyle,,,Dubai Properties,,,154,2002,,JBR,,Unknown,,Established,0.071838238,,15.4,Community,Apartments
1/JBR,"2,800","3,150","3,860","4,510","5,150","5,730","6,200",+95% (Since 2020),95,JBR,Waterfront/Luxury,,,Dubai Properties,,,155,2015,,JBR,,Luxury,,Established,0.097216248,,24,"6,500,000",Apartments
La Vie,"2,100","2,430","3,120","3,730","4,330","4,870","5,330",+105% (Since 2020),105,JBR,Waterfront/Luxury,,,Dubai Properties,,,156,2019,,JBR,,Mid-Range,,Established,0.109480456,,22,"3,500,000",Apartments
Riverside Marasi,,,,,"1,800","2,020","2,140",+15%,15,Business Bay,Waterfront/Urban,35m,15m,Dubai Properties,5m,,157,2024,20m,Business Bay,,Mid-Range,,Under Construction / New,0.090361816,6.5,18,"1,500,000",Apartments
Executive Towers,"1,150","1,230","1,380","1,520","1,660","1,800","1,900",+45% (Since 2020),45,Business Bay,Urban/Commercial,35m,15m,Dubai Properties,5m,,159,2005,20m,Business Bay,,Unknown,,Established,0.069849669,6.5,14.75,Community,Mixed
Bellevue Towers,"1,300","1,400","1,600","1,780","1,960","2,130","2,250",+55% (Since 2020),55,Downtown,Urban/Mid-Range,35m,15m,Dubai Properties,0m,,158,2016,20m,Downtown,,Affordable,,Established,0.071428571,,16.5,"1,200,000",Apartments
Bay Square,"1,100","1,170","1,310","1,440","1,570","1,690","1,780",+40% (Since 2020),40,Business Bay,Urban/Commercial,35m,15m,Dubai Properties,5m,,160,2007,20m,Business Bay,,Unknown,,Established,0.064780711,6.5,16,Community,Mixed
Serena Bella Casa,900,"1,010","1,240","1,470","1,700","1,910","2,080",+95% (Since 2020),95,Serena,Gated/Family,25m,25m,Dubai Properties,25m,,161,2016,25m,Serena,950,Affordable,,Established,0.106132638,6.5,3.5,"1,200,000",Townhouses
Serena Casa Dora,930,"1,040","1,270","1,500","1,730","1,930","2,090",+92% (Since 2020),92,Serena,Gated/Family,25m,25m,Dubai Properties,25m,,162,2016,25m,Serena,950,Affordable,,Established,0.099132606,6.5,3.5,"1,300,000",Townhouses
Serena Casa Viva,950,"1,060","1,290","1,520","1,750","1,950","2,110",+90% (Since 2020),90,Serena,Gated/Family,25m,25m,Dubai Properties,25m,,163,2017,25m,Serena,950,Affordable,,Established,0.09805022,6.5,3.5,"1,400,000",Townhouses
Remraam,550,580,640,700,760,810,850,+45% (Since 2020),45,Dubailand,Suburban/Economy,25m,25m,Dubai Properties,25m,,164,2007,25m,Dubailand,,Unknown,,Established,0.057554279,7,10.5,Community,Apartments
Layan,750,790,880,960,"1,040","1,120","1,180",+50% (Since 2020),50,Dubailand,Gated/Family,25m,25m,Dubai Properties,25m,,165,2006,25m,Dubailand,,Unknown,,Established,0.065183263,7,4.5,Community,Villas/Townhouses
The Villa,800,880,"1,040","1,190","1,340","1,480","1,590",+75% (Since 2020),75,Dubailand,Gated/Family,25m,25m,Dubai Properties,25m,,166,2005,25m,Dubailand,,Unknown,,Established,0.089296637,7,3.5,Community,Villas
Manazel Al Khor,"1,400","1,500","1,680","1,860","2,040","2,210","2,350",+45% (Since 2020),45,Culture Village,Waterfront/Heritage,35m,10m,Dubai Properties,10m,,167,2014,25m,Culture Village,,Mid-Range,,Established,0.073294361,,18,"1,800,000",Apartments
Dubai Wharf,"1,200","1,270","1,420","1,560","1,700","1,840","1,950",+40% (Since 2020),40,Culture Village,Waterfront/Urban,35m,10m,Dubai Properties,10m,,168,2014,25m,Culture Village,,Affordable,,Established,0.071008321,,16.5,"1,100,000",Apartments
Haven (Master),,,,"1,200","1,380","1,550","1,660",+30%,30,Dubailand,Wellness/Gated,25m,25m,Aldar Properties,25m,,169,2023,25m,Dubailand,,Unknown,,Recently Delivered,0.096767318,7,3.5,Community,Mixed
Athlon (Master),,,,,"1,350","1,590","1,730",+22%,22,Dubailand,Active/Gated,25m,25m,Aldar Properties,25m,,171,2024,25m,Dubailand,,Unknown,,Under Construction / New,0.132025389,7,3.8,Community,Mixed
Verdes by Haven,,,,,"1,250","1,440","1,560",+18%,18,Haven,Wellness/Gated,,,Aldar Properties,,,170,2024,,Haven,,Affordable,,Under Construction / New,0.117139204,,13.5,"990,000",Apartments
Rise by Athlon,,,,,"1,400","1,570","1,660",+15%,15,Athlon,Active/Gated,,,Aldar Properties,,,172,2024,,Athlon,,Mid-Range,,Under Construction / New,0.088905086,,3.8,"2,800,000",Townhouses
Nikki Beach Res RAK,,,,"2,100","2,560","3,020","3,320",+45%,45,RAK,Island/Luxury,80m,60m,Aldar Properties,65m,,174,2023,75m,RAK,,Mid-Range,,Recently Delivered,0.138804197,,15,"2,300,000",Branded Apt
The Wilds,,,,,"1,450","1,600","1,680",+12%,12,Athlon,Active/Gated,,,Aldar Properties,,,173,2024,,Athlon,,Mid-Range,,Under Construction / New,0.076392442,,3.8,"3,200,000",Townhouses
Rosso Bay,,,,"2,000","2,400","2,780","3,030",+40%,40,RAK,Island/Luxury,80m,60m,Aldar Properties,65m,,175,2023,75m,RAK,,Mid-Range,,Recently Delivered,0.123610253,,15,"2,100,000",Branded Apt
Cherrywoods District,,,,,"2,450,000","1,250","1,310",+5%,5,Dubailand,Gated/Family,25m,25m,Damac Properties,25m,,177,2025,25m,Dubailand,,Mid-Range,,Under Construction / New,,7,3.5,"2,450,000",Townhouses
Sun City (Master),,,,,"1,100","1,190","1,240",+10%,10,Dubailand,Theme/Family,25m,25m,Damac Properties,25m,,176,2024,25m,Dubailand,,Unknown,,Under Construction / New,0.061731005,7,3.2,Community,Mixed
DAMAC Lagoons,,,"1,310","1,550","1,780","1,990","2,140",+65%,65,Dubailand,Water Theme/Gated,25m,25m,Damac Properties,25m,,178,2021,25m,Dubailand,,Unknown,,Established,0.096470333,7,3.5,Community,Mixed
Venice,,,"1,400","1,650","1,900","2,130","2,300",+48%,48,Lagoons,Water Theme/Gated,,,Damac Properties,,,179,2022,,Lagoons,,Mid-Range,,Recently Delivered,0.100239208,,3.8,"4,900,000",Villas
Morocco,,,,"1,450","1,710","1,950","2,110",+35%,35,Lagoons,Water Theme/Gated,,,Damac Properties,,,180,2023,,Lagoons,,Mid-Range,,Recently Delivered,0.110818675,,3.8,"2,900,000",Villas
Mykonos,,,,"1,350","1,570","1,770","1,900",+32%,32,Lagoons,Water Theme/Gated,,,Damac Properties,,,181,2023,,Lagoons,,Mid-Range,,Recently Delivered,0.100086852,,3.5,"2,500,000",Townhouses
Santorini,,,"1,220","1,440","1,660","1,860","2,010",+75%,75,Lagoons,Water Theme/Gated,,,Damac Properties,,,182,2021,,Lagoons,,Mid-Range,,Established,0.100383285,,3.5,"1,500,000",Townhouses
Costa Brava,,,"1,220","1,430","1,630","1,810","1,950",+72%,72,Lagoons,Water Theme/Gated,,,Damac Properties,,,183,2021,,Lagoons,,Mid-Range,,Established,0.093763694,,3.5,"1,600,000",Townhouses
Nice,,,"1,250","1,460","1,660","1,840","1,980",+70%,70,Lagoons,Water Theme/Gated,,,Damac Properties,,,184,2021,,Lagoons,,Mid-Range,,Established,0.092140597,,3.5,"1,700,000",Townhouses
Malta,,,"1,100","1,300","1,500","1,680","1,810",+55%,55,Lagoons,Water Theme/Gated,,,Damac Properties,,,185,2022,,Lagoons,,Mid-Range,,Recently Delivered,0.098483804,,3.5,"1,800,000",Townhouses
Portofino,,,"1,150","1,350","1,550","1,730","1,860",+52%,52,Lagoons,Water Theme/Gated,,,Damac Properties,,,186,2022,,Lagoons,,Mid-Range,,Recently Delivered,0.095445115,,3.5,"1,900,000",Townhouses
Ibiza,,,,"1,250","1,480","1,690","1,830",+45%,45,Lagoons,Water Theme/Gated,,,Damac Properties,,,187,2022,,Lagoons,,Mid-Range,,Recently Delivered,0.111974139,,3.5,"2,100,000",Townhouses
Monte Carlo,,,,"1,300","1,530","1,740","1,880",+48%,48,Lagoons,Water Theme/Gated,,,Damac Properties,,,188,2022,,Lagoons,,Mid-Range,,Recently Delivered,0.108493649,,3.5,"2,000,000",Townhouses
Marbella,,,,"1,350","1,600","1,840","2,000",+50%,50,Lagoons,Water Theme/Gated,,,Damac Properties,,,189,2022,,Lagoons,,Mid-Range,,Recently Delivered,0.118033989,,3.5,"1,950,000",Townhouses
Violet Phase 1,,,,,950,"1,060","1,120",+15%,15,D3 Hills 2,Suburban/Gated,30m,35m,Damac Properties,35m,,191,2024,30m,D3 Hills 2,,Mid-Range,,Under Construction / New,0.085793428,,3.2,"1,800,000",Townhouses
DAMAC Hills 2,550,580,650,720,790,850,900,+55% (Since 2020),55,Dubailand,Suburban/Gated,25m,25m,Damac Properties,25m,,190,2014,25m,Dubailand,,Unknown,,Established,0.0673521,7,5.05,Community,Mixed
Violet Phase 2,,,,,980,"1,080","1,140",+12%,12,D3 Hills 2,Suburban/Gated,30m,35m,Damac Properties,35m,,192,2024,30m,D3 Hills 2,,Mid-Range,,Under Construction / New,0.078547776,,3.2,"1,870,000",Townhouses
Elo 1,,,,,900,"1,040","1,120",+20%,20,D3 Hills 2,Suburban/Gated,30m,35m,Damac Properties,35m,,194,2024,30m,D3 Hills 2,,Affordable,,Under Construction / New,0.115546702,,11.5,"547,000",Apartments
Violet Phase 3,,,,,"1,950,000","1,050","1,100",+10%,10,D3 Hills 2,Suburban/Gated,30m,35m,Damac Properties,35m,,193,2024,30m,D3 Hills 2,,Mid-Range,,Under Construction / New,,,3.2,"1,950,000",Townhouses
Elo 2,,,,,930,"1,060","1,140",+18%,18,D3 Hills 2,Suburban/Gated,30m,35m,Damac Properties,35m,,195,2024,30m,D3 Hills 2,,Affordable,,Under Construction / New,0.107161439,,11.5,"560,000",Apartments
Park Greens,,,,"1,100","1,270","1,420","1,530",+25%,25,D3 Hills 2,Suburban/Gated,30m,35m,Damac Properties,35m,,197,2023,30m,D3 Hills 2,,Mid-Range,,Recently Delivered,0.097599385,,3.8,"2,800,000",Villas
Elo 3,,,,,"580,000","1,020","1,070",+15%,15,D3 Hills 2,Suburban/Gated,30m,35m,Damac Properties,35m,,196,2024,30m,D3 Hills 2,,Affordable,,Under Construction / New,,,11.5,"580,000",Apartments
Verona,,,,"1,050","1,220","1,380","1,490",+28%,28,D3 Hills 2,Suburban/Gated,30m,35m,Damac Properties,35m,,198,2023,30m,D3 Hills 2,,Mid-Range,,Recently Delivered,0.105129619,,3.5,"1,800,000",Townhouses
DAMAC Riverside,,,,,"1,200","1,320","1,400",+12%,12,Riverside,Waterfront/Gated,15m,35m,Damac Properties,30m,,200,2024,20m,Riverside,,Unknown,,Under Construction / New,0.08012345,,3.2,Community,Townhouses
Natura,,,,,"1,150","1,290","1,370",+15%,15,D3 Hills 2,Suburban/Gated,30m,35m,Damac Properties,35m,,199,2024,30m,D3 Hills 2,,Mid-Range,,Under Construction / New,0.091468895,,3.5,"1,850,000",Townhouses
Water Vein,,,,,"1,250","1,400","1,490",+14%,14,Riverside,Waterfront/Gated,15m,35m,Damac Properties,30m,,201,2024,20m,Riverside,,Mid-Range,,Under Construction / New,0.091787525,,3.5,"2,400,000",Townhouses
Green Vein,,,,,"2,500,000","1,350","1,420",+12%,12,Riverside,Waterfront/Gated,15m,35m,Damac Properties,30m,,202,2024,20m,Riverside,,Mid-Range,,Under Construction / New,,,3.5,"2,500,000",Townhouses
Safa One,,,"1,900","2,320","2,740","3,150","3,430",+55%,55,SZR,High-Rise Luxury,35m,15m,Damac Properties,5m,,203,2022,20m,SZR,,Mid-Range,,Recently Delivered,0.118849774,,22,"1,600,000",Apartments
Cavalli Tower,,,"2,250","2,660","3,060","3,430","3,720",+65%,65,Marina,High-Rise Luxury,25m,25m,Damac Properties,20m,,205,2021,0m,Marina,,Mid-Range,,Established,0.102581641,6.5,25,"2,100,000",Apartments
Safa Two,,,"2,000","2,400","2,780","3,170","3,440",+50%,50,SZR,High-Rise Luxury,35m,15m,Damac Properties,5m,,204,2022,20m,SZR,,Mid-Range,,Recently Delivered,0.112389353,,22,"1,800,000",Apartments
DAMAC Bay 1,,,,"2,500","2,950","3,390","3,730",+38%,38,Harbour,Waterfront/Luxury,30m,25m,Damac Properties,20m,,206,2023,5m,Harbour,,Mid-Range,,Recently Delivered,0.124458438,6,26,"2,900,000",Apartments
Canal Crown,,,,"2,200","2,530","2,830","3,070",+32%,32,Business Bay,Waterfront/Luxury,35m,15m,Damac Properties,5m,,208,2023,20m,Bus Bay,,Mid-Range,,Recently Delivered,0.101561952,,22,"2,100,000",Apartments
DAMAC Bay 2,,,,"2,600","3,020","3,440","3,750",+35%,35,Harbour,Waterfront/Luxury,30m,25m,Damac Properties,20m,,207,2023,5m,Harbour,,Mid-Range,,Recently Delivered,0.11432574,6,26,"3,100,000",Apartments
Chic Tower,,,"1,800","2,120","2,420","2,710","2,930",+42%,42,Business Bay,Waterfront/Luxury,35m,15m,Damac Properties,5m,,210,2022,20m,Bus Bay,,Mid-Range,,Recently Delivered,0.10033804,,22,"1,500,000",Apartments
Volta,,,,"2,000","2,280","2,540","2,740",+30%,30,SZR,High-Rise Urban,35m,15m,Damac Properties,5m,,209,2023,20m,SZR,,Mid-Range,,Recently Delivered,0.096245587,,22,"1,700,000",Apartments
Sapphire,,,,,"2,300","2,620","2,830",+18%,18,SZR,High-Rise Luxury,35m,15m,Damac Properties,5m,,213,2024,20m,SZR,,Mid-Range,,Under Construction / New,0.109249648,,24,"2,200,000",Apartments
Coral Reef,,,,"1,900","2,210","2,510","2,720",+35%,35,Maritime City,Waterfront/Luxury,40m,15m,Damac Properties,15m,,212,2023,25m,Maritime,,Mid-Range,,Recently Delivered,0.109400392,6,20,"1,700,000",Apartments
Elegance Tower,,,"2,100","2,440","2,760","3,060","3,290",+38%,38,Downtown,High-Rise Luxury,35m,15m,Damac Properties,0m,,211,2022,20m,Downtown,,Mid-Range,,Recently Delivered,0.091800799,,24,"1,800,000",Apartments
Sobha Solis,,,,,"1,100,000","1,500","1,580",+12%,12,Motor City,Sports/Integrated,20m,25m,Sobha Realty,20m,,214,2024,15m,Motor City,950,Affordable,,Under Construction / New,,7.5,14.5,"1,100,000",Apartments
Sobha Hartland II,,,"1,400","1,650","1,900","2,140","2,310",+45%,45,Hartland II,Waterfront/Urban,30m,15m,Sobha Realty,10m,,215,2022,20m,Hartland II,,Unknown,,Recently Delivered,0.102628439,,16.5,Community,Mixed
320 Riverside,,,,"1,550","1,810","2,050","2,210",+32%,32,Hartland II,Waterfront/Urban,30m,15m,Sobha Realty,10m,,218,2023,20m,Hartland II,,Affordable,,Recently Delivered,0.104986188,,16.5,"1,400,000",Apartments
Skyscape Avenue,,,,,"1,850","2,080","2,230",+15%,15,Hartland II,Waterfront/Urban,30m,15m,Sobha Realty,10m,,216,2024,20m,Hartland II,,Mid-Range,,Under Construction / New,0.097909562,,17,"1,700,000",Apartments
Skyscape Aura,,,,,"1,900","2,120","2,260",+14%,14,Hartland II,Waterfront/Urban,30m,15m,Sobha Realty,10m,,217,2024,20m,Hartland II,,Mid-Range,,Under Construction / New,0.090629948,,17,"1,700,000",Apartments
310 Riverside,,,,"1,600","1,850","2,070","2,240",+30%,30,Hartland II,Waterfront/Urban,30m,15m,Sobha Realty,10m,,220,2023,20m,Hartland II,,Mid-Range,,Recently Delivered,0.100368489,,16.5,"1,500,000",Apartments
340 Riverside,,,,,"1,750","2,000","2,160",+18%,18,Hartland II,Waterfront/Urban,30m,15m,Sobha Realty,10m,,221,2024,20m,Hartland II,,Affordable,,Under Construction / New,0.11098412,,16.5,"1,300,000",Apartments
350 Riverside,,,,"1,500","1,770","2,020","2,190",+35%,35,Hartland II,Waterfront/Urban,30m,15m,Sobha Realty,10m,,219,2023,20m,Hartland II,,Affordable,,Recently Delivered,0.112334543,,16.5,"1,260,000",Apartments
Sobha Hartland I,"1,100","1,200","1,420","1,630","1,840","2,030","2,180",+75% (Since 2020),75,Hartland,Gated/Urban,30m,15m,Sobha Realty,10m,,223,2014,20m,Hartland,,Unknown,,Established,0.088477197,6.5,16.5,Community,Mixed
Sobha Estates,,,,"2,100","2,490","2,860","3,120",+40%,40,Hartland II,Gated/Luxury,30m,15m,Sobha Realty,10m,,222,2023,20m,Hartland II,,Ultra-Luxury,,Recently Delivered,0.119380207,,5.5,"21,000,000",Luxury Villas
Creek Vistas Heights,,,"1,500","1,770","2,040","2,280","2,460",+48%,48,Hartland,High-Rise Urban,30m,15m,Sobha Realty,10m,,224,2022,20m,Hartland,,Affordable,,Recently Delivered,0.098126747,6.5,17.5,"1,300,000",Apartments
