ID,Project Name,Master Community,Launch Year,Start Price,Appreciation,Developer,Area,Unit Type,Community Type,2020 Price,2021 Price,2022 Price,2023 Price,2024 Price,2025 Price,2026 Price,Service Charge,PPSM,Rental Yield %,File1 Appreciation,DXB Travel Time,DWC Travel Time,Downtown Travel Time,Marina Travel Time,Appreciation_Clean_%,Price_Segment,Projected_CAGR_24_26,Price_Vs_Community_Avg_%,Project_Stage
123,NAS Gardens Ph 3,Nad Al Sheba,2023,"4,800,000",+28%,Meraas,Nad Al Sheba,Villas,Gated/Family,,,,"1,300","1,480","1,640","1,750",4.5,"1,200",6.0,,20m,30m,15m,25m,,,,,
124,NAS Gardens Ph 4,Nad Al Sheba,2024,"5,100,000",+18%,Meraas,Nad Al Sheba,Villas,Gated/Family,,,,,"1,350","1,510","1,600",4.5,"1,200",6.0,,20m,30m,15m,25m,,,,,
125,NAS Gardens Ph 5,Nad Al Sheba,2024,"5,500,000",+14%,Meraas,Nad Al Sheba,Villas,Gated/Family,,,,,"1,400","1,550","1,640",4.5,"1,200",6.0,,20m,30m,15m,25m,,,,,
126,NAS Gardens Ph 6,Nad Al Sheba,2024,"6,000,000",+10%,Meraas,Nad Al Sheba,Villas,Gated/Family,,,,,"6,000,000","1,500","1,560",4.5,"1,200",6.0,,20m,30m,15m,25m,,,,,
127,Cherrywoods,Dubailand,2019,"2,300,000",+75% (Since 2020),Meraas,Dubailand,Townhouses,Gated/Family,800,880,"1,040","1,190","1,340","1,470","1,580",3.5,"1,000",7.0,,25m,25m,25m,25m,,,,,
128,Bluewaters Bay,Bluewaters,2022,"4,400,000",+55%,Meraas,Bluewaters,Apartments,Island/Luxury,,,"2,200","2,680","3,160","3,630","3,960",24,"2,800",5.5,,25m,30m,20m,5m,,,,,
129,Bluewaters Residences,Bluewaters,2015,"2,500,000",+130% (Since 2020),Meraas,Bluewaters,Apartments,Island/Luxury,"2,500","2,960","4,100","5,090","6,130","7,080","7,820",28,"2,800",5.5,,25m,30m,20m,5m,,,,,
130,Bulgari Resort & Res,Jumeirah Bay,2017,"12,000,000",+250% (Since 2020),Meraas,Jumeirah Bay,Apartments,Ultra-Luxury,"3,800","4,770","7,870","10,640","13,670","16,730","19,270",54,"3,500",4.5,,20m,35m,10m,20m,,,,,
131,Villa Amalfi,Jumeirah Bay,2018,"5,500,000",+180% (Since 2020),Meraas,Jumeirah Bay,Luxury Villas,Ultra-Luxury,"2,500","2,960","4,310","5,530","6,770","8,000","9,000",12,"3,500",4.5,,20m,35m,10m,20m,,,,,
132,Bulgari Lighthouse,Jumeirah Bay,2023,"64,000,000",+60%,Meraas,Jumeirah Bay,Apartments,Ultra-Luxury,,,,"6,500","8,130","9,760","11,220",65,"3,500",4.5,,20m,35m,10m,20m,,,,,
133,Mudon (Master),Mudon,2012,Community,+65% (Since 2020),Dubai Properties,Mudon,Mixed,Suburban/Family,850,920,"1,070","1,210","1,350","1,470","1,560",3.5,"1,000",6.5,,25m,20m,20m,20m,,,,,
134,Mudon Al Ranim Ph 1,Mudon,2022,"1,900,000",+38%,Dubai Properties,Mudon,Townhouses,Gated/Family,,,"1,100","1,270","1,420","1,560","1,670",3.8,"1,000",6.5,,25m,20m,20m,20m,,,,,
135,Mudon Al Ranim Ph 2,Mudon,2022,"2,000,000",+35%,Dubai Properties,Mudon,Townhouses,Gated/Family,,,"1,150","1,310","1,450","1,580","1,670",3.8,"1,000",6.5,,25m,20m,20m,20m,,,,,
136,Mudon Al Ranim Ph 3,Mudon,2023,"2,100,000",+28%,Dubai Properties,Mudon,Townhouses,Gated/Family,,,,"1,200","1,380","1,530","1,640",3.8,"1,000",6.5,,25m,20m,20m,20m,,,,,
137,Mudon Al Ranim Ph 4,Mudon,2023,"2,250,000",+25%,Dubai Properties,Mudon,Townhouses,Gated/Family,,,,"1,250","1,430","1,570","1,660",3.8,"1,000",6.5,,25m,20m,20m,20m,,,,,
138,Mudon Al Ranim Ph 5,Mudon,2023,"2,300,000",+22%,Dubai Properties,Mudon,Townhouses,Gated/Family,,,,"1,300","1,470","1,600","1,700",3.8,"1,000",6.5,,25m,20m,20m,20m,,,,,
139,Mudon Al Ranim Ph 6,Mudon,2023,"2,400,000",+20%,Dubai Properties,Mudon,Townhouses,Gated/Family,,,,"1,350","1,510","1,630","1,730",3.8,"1,000",6.5,,25m,20m,20m,20m,,,,,
140,Mudon Al Ranim Ph 7,Mudon,2024,"2,550,000",+15%,Dubai Properties,Mudon,Townhouses,Gated/Family,,,,,"1,400","1,570","1,660",3.8,"1,000",6.5,,25m,20m,20m,20m,,,,,
141,Mudon Al Ranim Ph 8,Mudon,2024,"2,700,000",+12%,Dubai Properties,Mudon,Townhouses,Gated/Family,,,,,"1,450","1,600","1,680",3.8,"1,000",6.5,,25m,20m,20m,20m,,,,,
142,Mudon Views,Mudon,2017,"800,000",+70% (Since 2020),Dubai Properties,Mudon,Apartments,Gated/Family,900,980,"1,140","1,300","1,460","1,610","1,730",14.5,"1,000",6.5,,25m,20m,20m,20m,,,,,
143,Rahat,Mudon,2013,"3,100,000",+68% (Since 2020),Dubai Properties,Mudon,Villas,Gated/Family,850,920,"1,070","1,220","1,360","1,490","1,590",3.5,"1,000",6.5,,25m,20m,20m,20m,,,,,
144,Naseem,Mudon,2014,"3,300,000",+65% (Since 2020),Dubai Properties,Mudon,Villas,Gated/Family,830,900,"1,050","1,190","1,320","1,440","1,530",3.5,"1,000",6.5,,25m,20m,20m,20m,,,,,
145,Villanova (Master),Dubailand,2016,Community,+85% (Since 2020),Dubai Properties,Dubailand,Townhouses,Gated/Family,900,"1,000","1,200","1,390","1,590","1,780","1,930",3.5,"1,000",7.0,,25m,25m,25m,25m,,,,,
146,La Violeta,Villanova,2022,"1,600,000",+35%,Dubai Properties,Villanova,Townhouses,Gated/Family,,,"1,100","1,270","1,420","1,560","1,670",3.8,950,6.5,,25m,25m,25m,25m,,,,,
147,Amaranta,Villanova,2016,"1,200,000",+95% (Since 2020),Dubai Properties,Villanova,Townhouses,Gated/Family,850,960,"1,180","1,400","1,620","1,820","1,980",3.5,950,6.5,,25m,25m,25m,25m,,,,,
148,La Rosa Phase 1,Villanova,2019,"1,280,000",+90% (Since 2020),Dubai Properties,Villanova,Townhouses,Gated/Family,900,"1,010","1,230","1,450","1,670","1,870","2,030",3.5,950,6.5,,25m,25m,25m,25m,,,,,
149,La Rosa Phase 2,Villanova,2019,"1,350,000",+88% (Since 2020),Dubai Properties,Villanova,Townhouses,Gated/Family,920,"1,030","1,250","1,470","1,690","1,880","2,030",3.5,950,6.5,,25m,25m,25m,25m,,,,,
150,La Rosa Phase 3,Villanova,2020,"1,400,000",+85%,Dubai Properties,Villanova,Townhouses,Gated/Family,950,"1,050","1,260","1,460","1,660","1,840","1,990",3.5,950,6.5,,25m,25m,25m,25m,,,,,
151,La Rosa Phase 4,Villanova,2020,"1,500,000",+82%,Dubai Properties,Villanova,Townhouses,Gated/Family,980,"1,070","1,260","1,450","1,640","1,810","1,950",3.5,950,6.5,,25m,25m,25m,25m,,,,,
152,La Rosa Phase 5,Villanova,2021,"1,600,000",+55%,Dubai Properties,Villanova,Townhouses,Gated/Family,,,"1,270","1,450","1,620","1,780","1,910",3.5,950,6.5,,25m,25m,25m,25m,,,,,
153,La Rosa Phase 6,Villanova,2021,"1,750,000",+50%,Dubai Properties,Villanova,Townhouses,Gated/Family,,,"1,310","1,480","1,650","1,810","1,940",3.5,950,6.5,,25m,25m,25m,25m,,,,,
154,JBR (Master),JBR,2002,Community,+60% (Since 2020),Dubai Properties,JBR,Apartments,Waterfront/Lifestyle,"1,400","1,510","1,740","1,950","2,150","2,330","2,470",15.4,,,,,,,,,,,,
155,1/JBR,JBR,2015,"6,500,000",+95% (Since 2020),Dubai Properties,JBR,Apartments,Waterfront/Luxury,"2,800","3,150","3,860","4,510","5,150","5,730","6,200",24,,,,,,,,,,,,
156,La Vie,JBR,2019,"3,500,000",+105% (Since 2020),Dubai Properties,JBR,Apartments,Waterfront/Luxury,"2,100","2,430","3,120","3,730","4,330","4,870","5,330",22,,,,,,,,,,,,
157,Riverside Marasi,Business Bay,2024,"1,500,000",+15%,Dubai Properties,Business Bay,Apartments,Waterfront/Urban,,,,,"1,800","2,020","2,140",18,"1,800",6.5,,15m,35m,5m,20m,,,,,
158,Bellevue Towers,Downtown,2016,"1,200,000",+55% (Since 2020),Dubai Properties,Downtown,Apartments,Urban/Mid-Range,"1,300","1,400","1,600","1,780","1,960","2,130","2,250",16.5,,,,15m,35m,0m,20m,,,,,
159,Executive Towers,Business Bay,2005,Community,+45% (Since 2020),Dubai Properties,Business Bay,Mixed,Urban/Commercial,"1,150","1,230","1,380","1,520","1,660","1,800","1,900",14.75,"1,800",6.5,,15m,35m,5m,20m,,,,,
160,Bay Square,Business Bay,2007,Community,+40% (Since 2020),Dubai Properties,Business Bay,Mixed,Urban/Commercial,"1,100","1,170","1,310","1,440","1,570","1,690","1,780",16,"1,800",6.5,,15m,35m,5m,20m,,,,,
161,Serena Bella Casa,Serena,2016,"1,200,000",+95% (Since 2020),Dubai Properties,Serena,Townhouses,Gated/Family,900,"1,010","1,240","1,470","1,700","1,910","2,080",3.5,950,6.5,,25m,25m,25m,25m,,,,,
162,Serena Casa Dora,Serena,2016,"1,300,000",+92% (Since 2020),Dubai Properties,Serena,Townhouses,Gated/Family,930,"1,040","1,270","1,500","1,730","1,930","2,090",3.5,950,6.5,,25m,25m,25m,25m,,,,,
163,Serena Casa Viva,Serena,2017,"1,400,000",+90% (Since 2020),Dubai Properties,Serena,Townhouses,Gated/Family,950,"1,060","1,290","1,520","1,750","1,950","2,110",3.5,950,6.5,,25m,25m,25m,25m,,,,,
164,Remraam,Dubailand,2007,Community,+45% (Since 2020),Dubai Properties,Dubailand,Apartments,Suburban/Economy,550,580,640,700,760,810,850,10.5,"1,000",7.0,,25m,25m,25m,25m,,,,,
165,Layan,Dubailand,2006,Community,+50% (Since 2020),Dubai Properties,Dubailand,Villas/Townhouses,Gated/Family,750,790,880,960,"1,040","1,120","1,180",4.5,"1,000",7.0,,25m,25m,25m,25m,,,,,
166,The Villa,Dubailand,2005,Community,+75% (Since 2020),Dubai Properties,Dubailand,Villas,Gated/Family,800,880,"1,040","1,190","1,340","1,480","1,590",3.5,"1,000",7.0,,25m,25m,25m,25m,,,,,
167,Manazel Al Khor,Culture Village,2014,"1,800,000",+45% (Since 2020),Dubai Properties,Culture Village,Apartments,Waterfront/Heritage,"1,400","1,500","1,680","1,860","2,040","2,210","2,350",18,,,,10m,35m,10m,25m,,,,,
168,Dubai Wharf,Culture Village,2014,"1,100,000",+40% (Since 2020),Dubai Properties,Culture Village,Apartments,Waterfront/Urban,"1,200","1,270","1,420","1,560","1,700","1,840","1,950",16.5,,,,10m,35m,10m,25m,,,,,
169,Haven (Master),Dubailand,2023,Community,+30%,Aldar Properties,Dubailand,Mixed,Wellness/Gated,,,,"1,200","1,380","1,550","1,660",3.5,"1,000",7.0,,25m,25m,25m,25m,,,,,
170,Verdes by Haven,Haven,2024,"990,000",+18%,Aldar Properties,Haven,Apartments,Wellness/Gated,,,,,"1,250","1,440","1,560",13.5,,,,,,,,,,,,
171,Athlon (Master),Dubailand,2024,Community,+22%,Aldar Properties,Dubailand,Mixed,Active/Gated,,,,,"1,350","1,590","1,730",3.8,"1,000",7.0,,25m,25m,25m,25m,,,,,
172,Rise by Athlon,Athlon,2024,"2,800,000",+15%,Aldar Properties,Athlon,Townhouses,Active/Gated,,,,,"1,400","1,570","1,660",3.8,,,,,,,,,,,,
173,The Wilds,Athlon,2024,"3,200,000",+12%,Aldar Properties,Athlon,Townhouses,Active/Gated,,,,,"1,450","1,600","1,680",3.8,,,,,,,,,,,,
174,Nikki Beach Res RAK,RAK,2023,"2,300,000",+45%,Aldar Properties,RAK,Branded Apt,Island/Luxury,,,,"2,100","2,560","3,020","3,320",15,,,,60m,80m,65m,75m,,,,,
175,Rosso Bay,RAK,2023,"2,100,000",+40%,Aldar Properties,RAK,Branded Apt,Island/Luxury,,,,"2,000","2,400","2,780","3,030",15,,,,60m,80m,65m,75m,,,,,
176,Sun City (Master),Dubailand,2024,Community,+10%,Damac Properties,Dubailand,Mixed,Theme/Family,,,,,"1,100","1,190","1,240",3.2,"1,000",7.0,,25m,25m,25m,25m,,,,,
177,Cherrywoods District,Dubailand,2025,"2,450,000",+5%,Damac Properties,Dubailand,Townhouses,Gated/Family,,,,,"2,450,000","1,250","1,310",3.5,"1,000",7.0,,25m,25m,25m,25m,,,,,
178,DAMAC Lagoons,Dubailand,2021,Community,+65%,Damac Properties,Dubailand,Mixed,Water Theme/Gated,,,"1,310","1,550","1,780","1,990","2,140",3.5,"1,000",7.0,,25m,25m,25m,25m,,,,,
179,Venice,Lagoons,2022,"4,900,000",+48%,Damac Properties,Lagoons,Villas,Water Theme/Gated,,,"1,400","1,650","1,900","2,130","2,300",3.8,,,,,,,,,,,,
180,Morocco,Lagoons,2023,"2,900,000",+35%,Damac Properties,Lagoons,Villas,Water Theme/Gated,,,,"1,450","1,710","1,950","2,110",3.8,,,,,,,,,,,,
181,Mykonos,Lagoons,2023,"2,500,000",+32%,Damac Properties,Lagoons,Townhouses,Water Theme/Gated,,,,"1,350","1,570","1,770","1,900",3.5,,,,,,,,,,,,
182,Santorini,Lagoons,2021,"1,500,000",+75%,Damac Properties,Lagoons,Townhouses,Water Theme/Gated,,,"1,220","1,440","1,660","1,860","2,010",3.5,,,,,,,,,,,,
183,Costa Brava,Lagoons,2021,"1,600,000",+72%,Damac Properties,Lagoons,Townhouses,Water Theme/Gated,,,"1,220","1,430","1,630","1,810","1,950",3.5,,,,,,,,,,,,
184,Nice,Lagoons,2021,"1,700,000",+70%,Damac Properties,Lagoons,Townhouses,Water Theme/Gated,,,"1,250","1,460","1,660","1,840","1,980",3.5,,,,,,,,,,,,
185,Malta,Lagoons,2022,"1,800,000",+55%,Damac Properties,Lagoons,Townhouses,Water Theme/Gated,,,"1,100","1,300","1,500","1,680","1,810",3.5,,,,,,,,,,,,
186,Portofino,Lagoons,2022,"1,900,000",+52%,Damac Properties,Lagoons,Townhouses,Water Theme/Gated,,,"1,150","1,350","1,550","1,730","1,860",3.5,,,,,,,,,,,,
187,Ibiza,Lagoons,2022,"2,100,000",+45%,Damac Properties,Lagoons,Townhouses,Water Theme/Gated,,,,"1,250","1,480","1,690","1,830",3.5,,,,,,,,,,,,
188,Monte Carlo,Lagoons,2022,"2,000,000",+48%,Damac Properties,Lagoons,Townhouses,Water Theme/Gated,,,,"1,300","1,530","1,740","1,880",3.5,,,,,,,,,,,,
189,Marbella,Lagoons,2022,"1,950,000",+50%,Damac Properties,Lagoons,Townhouses,Water Theme/Gated,,,,"1,350","1,600","1,840","2,000",3.5,,,,,,,,,,,,
190,DAMAC Hills 2,Dubailand,2014,Community,+55% (Since 2020),Damac Properties,Dubailand,Mixed,Suburban/Gated,550,580,650,720,790,850,900,5.05,"1,000",7.0,,25m,25m,25m,25m,,,,,
191,Violet Phase 1,D3 Hills 2,2024,"1,800,000",+15%,Damac Properties,D3 Hills 2,Townhouses,Suburban/Gated,,,,,950,"1,060","1,120",3.2,,,,35m,30m,35m,30m,,,,,
192,Violet Phase 2,D3 Hills 2,2024,"1,870,000",+12%,Damac Properties,D3 Hills 2,Townhouses,Suburban/Gated,,,,,980,"1,080","1,140",3.2,,,,35m,30m,35m,30m,,,,,
193,Violet Phase 3,D3 Hills 2,2024,"1,950,000",+10%,Damac Properties,D3 Hills 2,Townhouses,Suburban/Gated,,,,,"1,950,000","1,050","1,100",3.2,,,,35m,30m,35m,30m,,,,,
194,Elo 1,D3 Hills 2,2024,"547,000",+20%,Damac Properties,D3 Hills 2,Apartments,Suburban/Gated,,,,,900,"1,040","1,120",11.5,,,,35m,30m,35m,30m,,,,,
195,Elo 2,D3 Hills 2,2024,"560,000",+18%,Damac Properties,D3 Hills 2,Apartments,Suburban/Gated,,,,,930,"1,060","1,140",11.5,,,,35m,30m,35m,30m,,,,,
196,Elo 3,D3 Hills 2,2024,"580,000",+15%,Damac Properties,D3 Hills 2,Apartments,Suburban/Gated,,,,,"580,000","1,020","1,070",11.5,,,,35m,30m,35m,30m,,,,,
197,Park Greens,D3 Hills 2,2023,"2,800,000",+25%,Damac Properties,D3 Hills 2,Villas,Suburban/Gated,,,,"1,100","1,270","1,420","1,530",3.8,,,,35m,30m,35m,30m,,,,,
198,Verona,D3 Hills 2,2023,"1,800,000",+28%,Damac Properties,D3 Hills 2,Townhouses,Suburban/Gated,,,,"1,050","1,220","1,380","1,490",3.5,,,,35m,30m,35m,30m,,,,,
199,Natura,D3 Hills 2,2024,"1,850,000",+15%,Damac Properties,D3 Hills 2,Townhouses,Suburban/Gated,,,,,"1,150","1,290","1,370",3.5,,,,35m,30m,35m,30m,,,,,
200,DAMAC Riverside,Riverside,2024,Community,+12%,Damac Properties,Riverside,Townhouses,Waterfront/Gated,,,,,"1,200","1,320","1,400",3.2,,,,35m,15m,30m,20m,,,,,
201,Water Vein,Riverside,2024,"2,400,000",+14%,Damac Properties,Riverside,Townhouses,Waterfront/Gated,,,,,"1,250","1,400","1,490",3.5,,,,35m,15m,30m,20m,,,,,
202,Green Vein,Riverside,2024,"2,500,000",+12%,Damac Properties,Riverside,Townhouses,Waterfront/Gated,,,,,"2,500,000","1,350","1,420",3.5,,,,35m,15m,30m,20m,,,,,
203,Safa One,SZR,2022,"1,600,000",+55%,Damac Properties,SZR,Apartments,High-Rise Luxury,,,"1,900","2,320","2,740","3,150","3,430",22,,,,15m,35m,5m,20m,,,,,
204,Safa Two,SZR,2022,"1,800,000",+50%,Damac Properties,SZR,Apartments,High-Rise Luxury,,,"2,000","2,400","2,780","3,170","3,440",22,,,,15m,35m,5m,20m,,,,,
205,Cavalli Tower,Marina,2021,"2,100,000",+65%,Damac Properties,Marina,Apartments,High-Rise Luxury,,,"2,250","2,660","3,060","3,430","3,720",25,"1,900",6.5,,25m,25m,20m,0m,,,,,
206,DAMAC Bay 1,Harbour,2023,"2,900,000",+38%,Damac Properties,Harbour,Apartments,Waterfront/Luxury,,,,"2,500","2,950","3,390","3,730",26,"1,900",6.0,,25m,30m,20m,5m,,,,,
207,DAMAC Bay 2,Harbour,2023,"3,100,000",+35%,Damac Properties,Harbour,Apartments,Waterfront/Luxury,,,,"2,600","3,020","3,440","3,750",26,"1,900",6.0,,25m,30m,20m,5m,,,,,
208,Canal Crown,Bus Bay,2023,"2,100,000",+32%,Damac Properties,Business Bay,Apartments,Waterfront/Luxury,,,,"2,200","2,530","2,830","3,070",22,,,,15m,35m,5m,20m,,,,,
209,Volta,SZR,2023,"1,700,000",+30%,Damac Properties,SZR,Apartments,High-Rise Urban,,,,"2,000","2,280","2,540","2,740",22,,,,15m,35m,5m,20m,,,,,
210,Chic Tower,Bus Bay,2022,"1,500,000",+42%,Damac Properties,Business Bay,Apartments,Waterfront/Luxury,,,"1,800","2,120","2,420","2,710","2,930",22,,,,15m,35m,5m,20m,,,,,
211,Elegance Tower,Downtown,2022,"1,800,000",+38%,Damac Properties,Downtown,Apartments,High-Rise Luxury,,,"2,100","2,440","2,760","3,060","3,290",24,,,,15m,35m,0m,20m,,,,,
212,Coral Reef,Maritime,2023,"1,700,000",+35%,Damac Properties,Maritime City,Apartments,Waterfront/Luxury,,,,"1,900","2,210","2,510","2,720",20,"1,700",6.0,,15m,40m,15m,25m,,,,,
213,Sapphire,SZR,2024,"2,200,000",+18%,Damac Properties,SZR,Apartments,High-Rise Luxury,,,,,"2,300","2,620","2,830",24,,,,15m,35m,5m,20m,,,,,
214,Sobha Solis,Motor City,2024,"1,100,000",+12%,Sobha Realty,Motor City,Apartments,Sports/Integrated,,,,,"1,100,000","1,500","1,580",14.5,950,7.5,,25m,20m,20m,15m,,,,,
215,Sobha Hartland II,Hartland II,2022,Community,+45%,Sobha Realty,Hartland II,Mixed,Waterfront/Urban,,,"1,400","1,650","1,900","2,140","2,310",16.5,,,,15m,30m,10m,20m,,,,,
216,Skyscape Avenue,Hartland II,2024,"1,700,000",+15%,Sobha Realty,Hartland II,Apartments,Waterfront/Urban,,,,,"1,850","2,080","2,230",17,,,,15m,30m,10m,20m,,,,,
217,Skyscape Aura,Hartland II,2024,"1,700,000",+14%,Sobha Realty,Hartland II,Apartments,Waterfront/Urban,,,,,"1,900","2,120","2,260",17,,,,15m,30m,10m,20m,,,,,
218,320 Riverside,Hartland II,2023,"1,400,000",+32%,Sobha Realty,Hartland II,Apartments,Waterfront/Urban,,,,"1,550","1,810","2,050","2,210",16.5,,,,15m,30m,10m,20m,,,,,
219,350 Riverside,Hartland II,2023,"1,260,000",+35%,Sobha Realty,Hartland II,Apartments,Waterfront/Urban,,,,"1,500","1,770","2,020","2,190",16.5,,,,15m,30m,10m,20m,,,,,
220,310 Riverside,Hartland II,2023,"1,500,000",+30%,Sobha Realty,Hartland II,Apartments,Waterfront/Urban,,,,"1,600","1,850","2,070","2,240",16.5,,,,15m,30m,10m,20m,,,,,
221,340 Riverside,Hartland II,2024,"1,300,000",+18%,Sobha Realty,Hartland II,Apartments,Waterfront/Urban,,,,,"1,750","2,000","2,160",16.5,,,,15m,30m,10m,20m,,,,,
222,Sobha Estates,Hartland II,2023,"21,000,000",+40%,Sobha Realty,Hartland II,Luxury Villas,Gated/Luxury,,,,"2,100","2,490","2,860","3,120",5.5,,,,15m,30m,10m,20m,,,,,
223,Sobha Hartland I,Hartland,2014,Community,+75% (Since 2020),Sobha Realty,Hartland,Mixed,Gated/Urban,"1,100","1,200","1,420","1,630","1,840","2,030","2,180",16.5,"1,600",6.5,,15m,30m,10m,20m,,,,,
224,Creek Vistas Heights,Hartland,2022,"1,300,000",+48%,Sobha Realty,Hartland,Apartments,High-Rise Urban,,,"1,500","1,770","2,040","2,280","2,460",17.5,"1,600",6.5,,15m,30m,10m,20m,,,,,
225,Creek Vistas Res,Hartland,2020,"900,000",+85%,Sobha Realty,Hartland,Apartments,High-Rise Urban,"1,150","1,290","1,520","1,750","1,980","2,200","2,370",17.5,"1,600",6.5,,15m,30m,10m,20m,,,,,
226,Creek Vistas Grande,Hartland,2022,"1,400,000",+45%,Sobha Realty,Hartland,Apartments,High-Rise Urban,,,"1,550","1,810","2,060","2,300","2,480",17.5,"1,600",6.5,,15m,30m,10m,20m,,,,,
227,Hartland Greens,Hartland,2016,"1,100,000",+80% (Since 2020),Sobha Realty,Hartland,Apartments,Low-Rise Urban,"1,050","1,140","1,320","1,480","1,650","1,810","1,930",14.5,"1,600",6.5,,15m,30m,10m,20m,,,,,
228,One Park Avenue,Hartland,2020,"1,100,000",+78%,Sobha Realty,Hartland,Apartments,High-Rise Urban,"1,200","1,330","1,550","1,760","1,980","2,190","2,350",17.5,"1,600",6.5,,15m,30m,10m,20m,,,,,
229,Waves,Hartland,2021,"1,100,000",+65%,Sobha Realty,Hartland,Apartments,Waterfront/Urban,,,"1,540","1,770","2,000","2,220","2,390",17.5,"1,600",6.5,,15m,30m,10m,20m,,,,,
230,Waves Grande,Hartland,2021,"1,500,000",+62%,Sobha Realty,Hartland,Apartments,Waterfront/Urban,,,"1,580","1,810","2,040","2,260","2,430",17.5,"1,600",6.5,,15m,30m,10m,20m,,,,,
231,Forest Villas,Hartland,2017,"12,000,000",+95% (Since 2020),Sobha Realty,Hartland,Villas,Gated/Green,"1,200","1,370","1,710","1,990","2,270","2,540","2,760",4.8,"1,600",6.5,,15m,30m,10m,20m,,,,,
232,Sobha Elwood,Dubailand,2024,"7,900,000",+12%,Sobha Realty,Dubailand,Villas,Nature/Gated,,,,,"1,450","1,600","1,700",3.8,"1,000",7.0,,25m,25m,25m,25m,,,,,
233,Sobha Reserve,Dubailand,2023,"7,500,000",+28%,Sobha Realty,Dubailand,Villas,Nature/Gated,,,,"1,350","1,570","1,770","1,920",3.8,"1,000",7.0,,25m,25m,25m,25m,,,,,
234,Sobha Seahaven,Harbour,2023,"3,100,000",+45%,Sobha Realty,Harbour,Apartments,Waterfront/Luxury,,,,"2,500","3,060","3,630","4,010",26,"1,900",6.0,,25m,30m,20m,5m,,,,,
235,Sky Edition,Harbour,2023,"21,000,000",+35%,Sobha Realty,Harbour,Penthouses,Ultra-Luxury,,,,"3,800","4,560","5,290","5,820",32,"1,900",6.0,,25m,30m,20m,5m,,,,,
236,Verde by Sobha,JLT,2023,"1,800,000",+32%,Sobha Realty,JLT,Apartments,Urban/Golf View,,,,"1,750","2,070","2,380","2,590",19.5,,,,,,,,,,,,
237,Sobha Orbis,Motor City,2024,"990,000",+18%,Sobha Realty,Motor City,Apartments,Urban/Modern,,,,,"1,350","1,550","1,680",14.5,950,7.5,,25m,20m,20m,15m,,,,,
238,Ghaf Woods,Ghaf Woods,2024,Community,+15%,Majid Al Futtaim,Dubailand,Apartments,Nature/Integrated,,,,,"1,500","1,690","1,820",16.5,,,,25m,20m,20m,15m,,,,,
239,Plagette,Ghaf Woods,2024,"8,500,000",+14%,Majid Al Futtaim,Tilal Al Ghaf,Luxury Villas,Waterfront/Resort,,,,,"2,500","2,800","3,000",6,,,,25m,20m,20m,15m,,,,,
240,Sierra,Ghaf Woods,2024,"4,200,000",+12%,Majid Al Futtaim,Tilal Al Ghaf,Villas,Gated/Family,,,,,"1,650","1,820","1,930",4.2,,,,25m,20m,20m,15m,,,,,
241,Tilal Al Ghaf,Dubailand,2018,Community,+110% (Since 2020),Majid Al Futtaim,Dubailand,Mixed,Lagoon/Gated,900,"1,040","1,380","1,690","2,000","2,300","2,530",4.2,"1,000",7.0,,25m,25m,25m,25m,,,,,
242,Serenity Mansions,Tilal Al Ghaf,2023,"25,000,000",+45%,Majid Al Futtaim,Tilal Al Ghaf,Luxury Villas,Waterfront/Luxury,,,,"2,200","2,740","3,250","3,620",5.5,"1,500",6.0,,25m,20m,20m,15m,,,,,
243,Lanai Islands,Tilal Al Ghaf,2022,"64,000,000",+55%,Majid Al Futtaim,Tilal Al Ghaf,Mansions,Ultra-Luxury,,,"3,500","4,500","5,490","6,400","7,070",7.5,"1,500",6.0,,25m,20m,20m,15m,,,,,
244,Plagette 32,Tilal Al Ghaf,2023,"7,500,000",+38%,Majid Al Futtaim,Tilal Al Ghaf,Luxury Villas,Waterfront/Resort,,,,"2,300","2,730","3,130","3,410",6,"1,500",6.0,,25m,20m,20m,15m,,,,,
245,Amara,Tilal Al Ghaf,2024,"6,500,000",+18%,Majid Al Futtaim,Tilal Al Ghaf,Villas,Gated/Resort,,,,,"1,900","2,190","2,380",4.5,"1,500",6.0,,25m,20m,20m,15m,,,,,
246,Alaya,Tilal Al Ghaf,2021,"6,800,000",+70%,Majid Al Futtaim,Tilal Al Ghaf,Villas,Gated/Resort,,,"1,340","1,580","1,820","2,050","2,230",4.2,"1,500",6.0,,25m,20m,20m,15m,,,,,
247,Alaya Beach,Tilal Al Ghaf,2022,"15,000,000",+60%,Majid Al Futtaim,Tilal Al Ghaf,Mansions,Waterfront/Ultra,,,"1,800","2,250","2,700","3,120","3,450",5.5,"1,500",6.0,,25m,20m,20m,15m,,,,,
248,Elysian Mansions,Tilal Al Ghaf,2022,"18,000,000",+58%,Majid Al Futtaim,Tilal Al Ghaf,Mansions,Waterfront/Ultra,,,"1,900","2,360","2,820","3,240","3,560",5.5,"1,500",6.0,,25m,20m,20m,15m,,,,,
249,Harmony 1,Tilal Al Ghaf,2020,"3,100,000",+95%,Majid Al Futtaim,Tilal Al Ghaf,Villas,Gated/Family,950,"1,130","1,470","1,760","2,050","2,320","2,540",3.8,"1,500",6.0,,25m,20m,20m,15m,,,,,
